name,type,description,number_of_items
SONIC Drive In,burgers,"Drive-in fast-food chain known for its burgers, hot dogs, and shakes",30
Taco Bell,tacos,"Chain for Mexican-inspired fast food including tacos, burritos & quesadillas",20
Arby's,chicken,"Fast-food chain known for its roast beef, turkey, and premium Angus beef sandwiches",15
Steak 'n Shake,burgers,"Classic American brand serving premium burgers and milkshakes since 1934",25
Wendy's,burgers,"Fast-food chain known for its square burgers, fries & Frosty shakes",20
Burger King,burgers,"Fast-food chain known for its flame-grilled burgers, fries & shakes",30
Chipotle Mexican Grill,Mexican,"Fast-casual chain serving Mexican-inspired food, including burritos & tacos",15
7-Eleven,others,"Convenience store chain offering a variety of snacks, drinks, and quick bites",50
Dairy Queen,dessert,"Soft-serve ice cream & signature shakes top the menu at this classic burger & fries fast-food chain",20
Mr. Hero,sandwiches,"Regional chain serving made-to-order sandwiches, including hot subs & deli classics",20
Golden Chick,chicken,"Fast-food chain specializing in fried chicken, tenders & side dishes",15
Carl's Jr,burgers,"Fast-food chain known for its big, juicy burgers and charbroiled chicken sandwiches",25
Checkers,burgers,"Drive-thru fast-food chain offering burgers, hot dogs, fries & shakes",20
Rally's,burgers,"Drive-thru fast-food chain serving burgers, hot dogs, fries & shakes",20
Togo's,sandwiches,"California-based chain serving made-to-order sandwiches, salads & wraps",20
Little Q Hot Pot,others,"Hot pot restaurant offering customizable broth bases & a variety of meats, seafood & veggies",30
McDonald's,burgers,"Iconic fast-food chain known for its burgers, fries & shakes",30
Five Guys,burgers,"Fast-casual chain known for its customizable burgers, hot dogs & fries",15
Boston Road Pizza,pizza,"Casual pizzeria chain offering New York-style pizzas, pasta & subs",25
Boston Market,fast food,"Fast-casual chain offering rotisserie chicken, ribs & home-style sides",20
D'Angelo Grilled Sandwiches,sandwiches,"Regional chain known for its grilled sandwiches, including steak & cheese",20
Nino's Pizzarama,pizza,"Casual pizzeria offering New York-style pies, plus subs, pasta & salads",25
Filippi's Pizza Grotto,pizza,"Local chain offering pizza, pasta & other Italian fare in a casual setting",30
Jack in the Box,fast food,"Fast-food chain offering a variety of burgers, chicken sandwiches & tacos",25
Round Table Pizza,pizza,"Chain serving pizzas with a variety of toppings, plus sandwiches & salads",20
El Pollo Loco,chicken,"Fast-food chain specializing in citrus-marinated, flame-grilled chicken",20
In-N-Out Burger,burgers,"Fast-food chain known for its burgers, fries, and shakes",15
Copper Oven Artisan Pizza,pizza,"Local pizzeria offering wood-fired pizzas with creative toppings",20
Del Taco,tacos,"Fast-food chain serving Mexican-inspired fare, including tacos, burritos & nachos",25
Little Caesars Pizza,pizza,"Chain pizzeria offering pizza, breadsticks & wings for takeout or delivery",20
Sbarro,pizza,"Casual chain offering NY-style pizza, pasta dishes & other Italian-American fare",20
Casey's General Store,others,"Convenience store chain offering a variety of snacks, drinks, and quick bites",40
SUBWAY,sandwiches,"International fast-food chain known for its submarine sandwiches & salads",30
Fat Patty's,burgers,"Local burger joint offering a variety of creative burgers & sandwiches",20
Pizza Hut,pizza,"Casual pizza chain offering pizza, pasta, wings, and desserts for dine-in, takeout, or delivery",30
Culver's,burgers,"Fast-food chain known for its butterburgers, frozen custard & cheese curds",25
KFC,chicken,"Global fast-food chain known for its fried chicken buckets, sandwiches & sides",20
Whataburger,burgers,"Regional fast-food chain known for its made-to-order burgers & sandwiches",20
Chick-Fil-A,chicken,"Fast-food chain known for its chicken sandwiches, nuggets, and waffle fries",20
