Country,Region,Year,Qrt,Product,Revenue,Expense,Sales.From.Online.Store
United States,America,2006,Qrt 1,L501R,77278.11,48813.64,0.28
United States,America,2006,Qrt 2,L501R,101444.33,38191.04,0.32
United States,America,2006,Qrt 3,L501R,80591.23,52249.75,0.32
United States,America,2006,Qrt 4,L501R,73136.93,49219.42,0.31
United States,America,2006,Qrt 1,J511T,47213.4,26915.55,0.32
United States,America,2006,Qrt 2,J511T,54117.07,27955,0.29
United States,America,2006,Qrt 3,J511T,58578.7,31582.45,0.32
United States,America,2006,Qrt 4,J511T,44971.56,28904.8,0.41
United States,America,2006,Qrt 1,F541T,25208.86,22597.2,0.33
United States,America,2006,Qrt 2,F541T,22071.17,19039.07,0.25
United States,America,2006,Qrt 3,F541T,22650.36,16624.19,0.32
United States,America,2006,Qrt 4,F541T,22679.86,20617.31,0.36
United States,America,2006,Qrt 1,505T,8573.51,5435.66,0.33
United States,America,2006,Qrt 2,505T,9336.98,5337.34,0.3
United States,America,2006,Qrt 3,505T,8053.09,5000.98,0.28
United States,America,2006,Qrt 4,505T,6335.95,5562.39,0.25
United States,America,2006,Qrt 1,NBA01R,41222.11,12599.46,0.34
United States,America,2006,Qrt 2,NBA01R,38410.87,16102.74,0.37
United States,America,2006,Qrt 3,NBA01R,32652.65,14902.84,0.32
United States,America,2006,Qrt 4,NBA01R,41026.06,15424.36,0.26
United States,America,2006,Qrt 1,RC03R,30315.77,23457.78,0.29
United States,America,2006,Qrt 2,RC03R,33579.65,19113.86,0.23
United States,America,2006,Qrt 3,RC03R,27463.26,20024.18,0.35
United States,America,2006,Qrt 4,RC03R,35368.1,21187.72,0.35
United States,America,2006,Qrt 1,NFL03T,8189.89,4719.45,0.26
United States,America,2006,Qrt 2,NFL03T,8965.54,4619.07,0.37
United States,America,2006,Qrt 3,NFL03T,8190.54,4450.31,0.41
United States,America,2006,Qrt 4,NFL03T,7493.85,5228.68,0.36
United States,America,2006,Qrt 1,W711R,57240.22,17340.69,0.35
United States,America,2006,Qrt 2,W711R,53949.82,18418.93,0.3
United States,America,2006,Qrt 3,W711R,42345.35,18518.85,0.28
United States,America,2006,Qrt 4,W711R,48591.72,21824.85,0.24
United States,America,2006,Qrt 1,W721T,15365.17,8254.09,0.27
United States,America,2006,Qrt 2,W721T,14777.59,7630.34,0.33
United States,America,2006,Qrt 3,W721T,12876.2,6625.25,0.24
United States,America,2006,Qrt 4,W721T,14561.22,9128.66,0.3
United States,America,2006,Qrt 1,S701T,12491.21,6786.61,0.29
United States,America,2006,Qrt 2,S701T,10394.16,7999.44,0.32
United States,America,2006,Qrt 3,S701T,14947.64,7764.63,0.3
United States,America,2006,Qrt 4,S701T,11549.62,8001.14,0.31
United States,America,2006,Qrt 1,U702R,25240.31,8809.65,0.26
United States,America,2006,Qrt 2,U702R,25279.26,10204.6,0.31
United States,America,2006,Qrt 3,U702R,23995.45,9287.07,0.25
United States,America,2006,Qrt 4,U702R,19259.04,9838.51,0.41
United States,America,2006,Qrt 1,J230V,7780.38,4109.28,0.29
United States,America,2006,Qrt 2,J230V,8644.32,3311.09,0.31
United States,America,2006,Qrt 3,J230V,7180.79,4063.34,0.19
United States,America,2006,Qrt 4,J230V,8396.84,5268.2,0.28
United States,America,2006,Qrt 1,P532R,4296.91,2161.58,0.28
United States,America,2006,Qrt 2,P532R,3625.14,2427.94,0.33
United States,America,2006,Qrt 3,P532R,4310.57,1819.09,0.35
United States,America,2006,Qrt 4,P532R,3025.64,2226.42,0.37
Canada,America,2006,Qrt 1,L501R,57776.32,34172.31,0.35
Canada,America,2006,Qrt 2,L501R,54653.52,27713.67,0.29
Canada,America,2006,Qrt 3,L501R,58364.38,32489.98,0.27
Canada,America,2006,Qrt 4,L501R,67745.5,35189.46,0.33
Canada,America,2006,Qrt 1,J511T,34097.58,14455.49,0.38
Canada,America,2006,Qrt 2,J511T,27927.2,17903.17,0.31
Canada,America,2006,Qrt 3,J511T,31390.39,16794.1,0.42
Canada,America,2006,Qrt 4,J511T,32332.38,16634.43,0.34
Canada,America,2006,Qrt 1,F541T,16368,12055.94,0.39
Canada,America,2006,Qrt 2,F541T,13721.41,11282.64,0.31
Canada,America,2006,Qrt 3,F541T,15438.49,12919.6,0.26
Canada,America,2006,Qrt 4,F541T,16161.92,10254.1,0.36
Canada,America,2006,Qrt 1,505T,4867.12,4008.69,0.34
Canada,America,2006,Qrt 2,505T,4570.67,3437.41,0.37
Canada,America,2006,Qrt 3,505T,4939.71,3367.83,0.3
Canada,America,2006,Qrt 4,505T,5063.92,3957.77,0.25
Canada,America,2006,Qrt 1,NBA01R,31929.99,10735.24,0.27
Canada,America,2006,Qrt 2,NBA01R,29295.51,11069.13,0.29
Canada,America,2006,Qrt 3,NBA01R,25964.34,9488.94,0.39
Canada,America,2006,Qrt 4,NBA01R,33050.28,9842.48,0.35
Canada,America,2006,Qrt 1,RC03R,18477.81,10529.51,0.4
Canada,America,2006,Qrt 2,RC03R,22074.67,10462.67,0.29
Canada,America,2006,Qrt 3,RC03R,19356.86,10127.01,0.3
Canada,America,2006,Qrt 4,RC03R,16362.05,8792.78,0.31
Canada,America,2006,Qrt 1,NFL03T,5684.24,3235.66,0.38
Canada,America,2006,Qrt 2,NFL03T,5516.14,2908.85,0.24
Canada,America,2006,Qrt 3,NFL03T,5426.11,2990.11,0.29
Canada,America,2006,Qrt 4,NFL03T,5726.56,3228.2,0.31
Canada,America,2006,Qrt 1,W711R,27195.82,14546.33,0.34
Canada,America,2006,Qrt 2,W711R,25196.66,11769.63,0.3
Canada,America,2006,Qrt 3,W711R,18535.06,14344.04,0.32
Canada,America,2006,Qrt 4,W711R,25138.02,13300.81,0.38
Canada,America,2006,Qrt 1,W721T,13003.95,5006.07,0.3
Canada,America,2006,Qrt 2,W721T,12168.47,5359.71,0.32
Canada,America,2006,Qrt 3,W721T,11499.52,6020.28,0.34
Canada,America,2006,Qrt 4,W721T,14145.84,5145.33,0.34
Canada,America,2006,Qrt 1,S701T,13895.41,6590.08,0.34
Canada,America,2006,Qrt 2,S701T,14127.24,6686.22,0.25
Canada,America,2006,Qrt 3,S701T,9549.12,4548.39,0.4
